         # x	           y	           z	          vx	          vy	          vz
  -0.9381047	  -2.5690743	   0.0020295	   0.0006647	   0.0016461	   0.0000022
  -0.9231457	  -2.5327757	   0.0020789	   0.0006815	   0.0016206	   0.0000022
  -0.9078157	  -2.4970506	   0.0021275	   0.0006981	   0.0015945	   0.0000022
  -0.9078157	  -2.4970506	   0.0021275	   0.0004950	   0.0017182	   0.0000009
  -0.8965807	  -2.4590799	   0.0021471	   0.0005161	   0.0016990	   0.0000009
  -0.8848802	  -2.4215435	   0.0021659	   0.0005369	   0.0016791	   0.0000008
  -0.8727184	  -2.3844588	   0.0021840	   0.0005576	   0.0016584	   0.0000008
  -0.8600995	  -2.3478433	   0.0022012	   0.0005781	   0.0016369	   0.0000008
  -0.8470282	  -2.3117142	   0.0022177	   0.0005983	   0.0016146	   0.0000007
  -0.8335090	  -2.2760885	   0.0022333	   0.0006184	   0.0015916	   0.0000007
  -0.8195470	  -2.2409830	   0.0022482	   0.0006382	   0.0015678	   0.0000007
  -0.8051470	  -2.2064145	   0.0022622	   0.0006578	   0.0015433	   0.0000006
  -0.7903142	  -2.1723995	   0.0022755	   0.0006771	   0.0015180	   0.0000006
  -0.7903142	  -2.1723995	   0.0022755	   0.0004483	   0.0016453	  -0.0000013
  -0.7800861	  -2.1360283	   0.0022458	   0.0004722	   0.0016279	  -0.0000014
  -0.7693271	  -2.1000543	   0.0022153	   0.0004960	   0.0016096	  -0.0000014
  -0.7580410	  -2.0644978	   0.0021840	   0.0005197	   0.0015904	  -0.0000014
  -0.7462318	  -2.0293784	   0.0021519	   0.0005431	   0.0015702	  -0.0000015
  -0.7339038	  -1.9947161	   0.0021191	   0.0005664	   0.0015492	  -0.0000015
  -0.7210614	  -1.9605303	   0.0020854	   0.0005894	   0.0015273	  -0.0000015
  -0.7077092	  -1.9268404	   0.0020511	   0.0006122	   0.0015046	  -0.0000016
  -0.6938519	  -1.8936657	   0.0020160	   0.0006349	   0.0014810	  -0.0000016
  -0.6794946	  -1.8610251	   0.0019802	   0.0006573	   0.0014565	  -0.0000016
  -0.6794946	  -1.8610251	   0.0019802	   0.0004529	   0.0015550	  -0.0000027
  -0.6691427	  -1.8266631	   0.0019205	   0.0004788	   0.0015374	  -0.0000027
