 # Dv [km/s]	     dx [km]	     dy [km]	     dz [km]	     dr [km]	  dvx [km/s]	  dvy [km/s]	  dvz [km/s]	   dv [km/s]	e_los_2 [km]	e_los_inf [km]	      reward
   0.0060258	   0.0000599	  -0.0000446	   0.0000110	   0.0000755	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0019773	   0.0016858	  -0.0573642
   0.0048674	  -0.0001738	  -0.0004800	  -0.0000882	   0.0005181	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0038801	   0.0036074	  -0.0726920
   0.0058502	   0.0000388	   0.0000326	  -0.0000342	   0.0000612	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0036482	   0.0032237	  -0.0783183
   0.0045602	   0.0000493	  -0.0004564	   0.0000436	   0.0004612	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0012508	   0.0007674	  -0.0360179
   0.0058616	   0.0003645	  -0.0006039	   0.0000416	   0.0007066	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0038253	   0.0035075	  -0.0796258
   0.0060643	  -0.0002526	  -0.0004283	  -0.0001476	   0.0005186	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0023542	   0.0022446	  -0.0589191
   0.0057841	  -0.0001790	  -0.0005752	  -0.0001211	   0.0006144	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0018813	   0.0015167	  -0.0549722
   0.0043643	   0.0004184	  -0.0007680	   0.0000082	   0.0008747	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0020204	   0.0010999	  -0.0483277
   0.0066195	  -0.0002806	  -0.0006486	  -0.0001799	   0.0007292	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0055441	   0.0052693	  -0.1043798
   0.0050924	  -0.0004296	  -0.0006103	  -0.0001066	   0.0007539	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0037247	   0.0033966	  -0.0734110
   0.0057050	   0.0001645	  -0.0006470	  -0.0000457	   0.0006692	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0039279	   0.0032640	  -0.0826927
   0.0063661	   0.0000005	  -0.0004415	  -0.0001155	   0.0004564	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0050566	   0.0049704	  -0.0905854
   0.0045198	  -0.0004937	  -0.0005256	  -0.0000811	   0.0007256	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0013712	   0.0012295	  -0.0386064
   0.0044770	   0.0005273	  -0.0007888	   0.0001124	   0.0009554	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0031303	   0.0021119	  -0.0690217
   0.0038303	  -0.0002367	  -0.0002106	   0.0000313	   0.0003183	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0016604	   0.0009544	  -0.0356009
   0.0053262	  -0.0000022	   0.0000209	  -0.0001139	   0.0001158	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0036327	   0.0029728	  -0.0761141
   0.0052187	   0.0001274	  -0.0006939	  -0.0001100	   0.0007140	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0038061	   0.0033730	  -0.0763630
   0.0040642	  -0.0000427	  -0.0003640	  -0.0000261	   0.0003674	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0013657	   0.0010423	  -0.0349938
   0.0050454	  -0.0001349	  -0.0003969	  -0.0001005	   0.0004311	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0033599	   0.0024523	  -0.0705946
   0.0045986	   0.0002916	  -0.0007437	  -0.0000171	   0.0007990	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0016570	   0.0009813	  -0.0420160
   0.0074461	  -0.0003201	  -0.0003443	  -0.0000770	   0.0004764	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0024516	   0.0019322	  -0.0740523
   0.0045746	   0.0004184	  -0.0001886	   0.0000162	   0.0004592	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0018122	   0.0012942	  -0.0431286
   0.0049499	  -0.0001922	  -0.0005577	  -0.0000987	   0.0005981	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0029384	   0.0022492	  -0.0641925
   0.0050225	  -0.0003337	  -0.0002832	  -0.0000840	   0.0004457	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0032430	   0.0028225	  -0.0670259
   0.0068223	   0.0003558	  -0.0002316	  -0.0000618	   0.0004290	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0053048	   0.0051164	  -0.1004524
   0.0048198	  -0.0004590	  -0.0002726	  -0.0000644	   0.0005378	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0025877	   0.0022196	  -0.0577361
   0.0048308	  -0.0002838	  -0.0001465	   0.0000023	   0.0003194	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0014235	   0.0011082	  -0.0384549
   0.0068995	   0.0002009	  -0.0002725	  -0.0000892	   0.0003501	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0052434	   0.0047450	  -0.1078991
   0.0048854	  -0.0003228	  -0.0005641	  -0.0001798	   0.0006744	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0030202	   0.0024007	  -0.0648892
