         # x	           y	           z	          vx	          vy	          vz
  -1.8322526	  -5.0733415	  -0.1303864	   0.0009457	   0.0027206	   0.0001395
  -1.8110786	  -5.0132835	  -0.1272629	   0.0009599	   0.0026845	   0.0001416
  -1.7895931	  -4.9540331	  -0.1240938	   0.0009737	   0.0026479	   0.0001436
  -1.7678038	  -4.8956020	  -0.1208802	   0.0009872	   0.0026108	   0.0001456
  -1.7457186	  -4.8380015	  -0.1176232	   0.0010004	   0.0025732	   0.0001475
  -1.7233454	  -4.7812428	  -0.1143241	   0.0010132	   0.0025350	   0.0001494
  -1.7006921	  -4.7253365	  -0.1109841	   0.0010256	   0.0024964	   0.0001512
  -1.6777670	  -4.6702931	  -0.1076042	   0.0010376	   0.0024574	   0.0001530
  -1.6777670	  -4.6702931	  -0.1076042	   0.0008605	   0.0025126	   0.0001281
  -1.6584899	  -4.6148212	  -0.1047387	   0.0008743	   0.0024798	   0.0001298
  -1.6389096	  -4.5600849	  -0.1018357	   0.0008878	   0.0024464	   0.0001315
  -1.6190330	  -4.5060957	  -0.0988961	   0.0009010	   0.0024125	   0.0001331
  -1.5988673	  -4.4528646	  -0.0959211	   0.0009139	   0.0023782	   0.0001347
  -1.5784198	  -4.4004023	  -0.0929117	   0.0009264	   0.0023433	   0.0001362
  -1.5576978	  -4.3487196	  -0.0898690	   0.0009386	   0.0023080	   0.0001377
  -1.5367086	  -4.2978264	  -0.0867941	   0.0009504	   0.0022723	   0.0001391
  -1.5154599	  -4.2477330	  -0.0836881	   0.0009619	   0.0022361	   0.0001405
  -1.4939592	  -4.1984489	  -0.0805521	   0.0009731	   0.0021994	   0.0001418
  -1.4939592	  -4.1984489	  -0.0805521	   0.0007673	   0.0022852	   0.0001156
  -1.4767500	  -4.1479919	  -0.0779689	   0.0007814	   0.0022559	   0.0001169
  -1.4592306	  -4.0981924	  -0.0753577	   0.0007953	   0.0022260	   0.0001181
  -1.4414073	  -4.0490620	  -0.0727195	   0.0008088	   0.0021956	   0.0001193
  -1.4232863	  -4.0006121	  -0.0700552	   0.0008220	   0.0021648	   0.0001205
  -1.4048743	  -3.9528539	  -0.0673658	   0.0008350	   0.0021334	   0.0001216
  -1.3861778	  -3.9057983	  -0.0646523	   0.0008476	   0.0021015	   0.0001226
  -1.3672035	  -3.8594558	  -0.0619156	   0.0008600	   0.0020692	   0.0001237
  -1.3479582	  -3.8138369	  -0.0591567	   0.0008720	   0.0020364	   0.0001246
  -1.3284489	  -3.7689517	  -0.0563767	   0.0008838	   0.0020032	   0.0001256
