 # Dv [km/s]	     dx [km]	     dy [km]	     dz [km]	     dr [km]	  dvx [km/s]	  dvy [km/s]	  dvz [km/s]	   dv [km/s]	e_los_2 [km]	e_los_inf [km]	      reward
   0.0054147	  -0.0000904	  -0.0001720	   0.0001724	   0.0002598	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0360981
   0.0062768	  -0.0002921	   0.0004866	  -0.0001326	   0.0005828	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0419280
   0.0048591	  -0.0001000	   0.0000270	   0.0002865	   0.0003047	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0323942
   0.0063318	  -0.0001058	  -0.0001534	   0.0000398	   0.0001906	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0422123
   0.0064421	  -0.0001588	  -0.0002570	  -0.0000524	   0.0003066	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0429475
   0.0062186	  -0.0000653	  -0.0002802	   0.0001639	   0.0003311	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0414571
   0.0046353	   0.0001499	  -0.0000784	   0.0003796	   0.0004156	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0309020
   0.0070124	  -0.0001282	  -0.0004538	  -0.0000807	   0.0004784	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0467496
   0.0055816	  -0.0003679	  -0.0003775	   0.0000678	   0.0005314	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0372419
   0.0061101	  -0.0001355	  -0.0002185	  -0.0001618	   0.0003038	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0407341
   0.0068603	   0.0000439	   0.0000878	   0.0000261	   0.0001016	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0457355
   0.0047685	  -0.0004236	  -0.0002438	   0.0002053	   0.0005301	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0318203
